seatId|scheduleId|seatNumber|isBooked
133|9|C3|false
134|9|C4|false
135|9|C5|false

136|10|A1|false
137|10|A2|false
138|10|A3|false
139|10|A4|false
140|10|A5|false
141|10|B1|false
142|10|B2|false
143|10|B3|false
144|10|B4|false
145|10|B5|false
146|10|C1|false
147|10|C2|false
148|10|C3|false
149|10|C4|false
150|10|C5|false
151|11|A1|false
152|11|A2|false
153|11|A3|false
154|11|A4|false
155|11|A5|false
156|11|B1|false
157|11|B2|false
158|11|B3|false
159|11|B4|false
160|11|B5|false
161|11|C1|false
162|11|C2|false
163|11|C3|false
164|11|C4|false
165|11|C5|false

166|12|A1|false
167|12|A2|false
168|12|A3|false
169|12|A4|false
170|12|A5|false
171|12|B1|false
172|12|B2|false
173|12|B3|false
174|12|B4|false
175|12|B5|false
176|12|C1|false
177|12|C2|false
178|12|C3|false
179|12|C4|false
180|12|C5|false

181|13|A1|false
182|13|A2|false
183|13|A3|false
184|13|A4|false
185|13|A5|false
186|13|B1|false
187|13|B2|false
188|13|B3|false
189|13|B4|false
190|13|B5|false
191|13|C1|false
192|13|C2|false
193|13|C3|false
194|13|C4|false
195|13|C5|false

196|14|A1|false
197|14|A2|false
198|14|A3|false
199|14|A4|false
200|14|A5|false
201|14|B1|false
202|14|B2|false
203|14|B3|false
204|14|B4|false
205|14|B5|false
206|14|C1|false
207|14|C2|false
208|14|C3|false
209|14|C4|false
210|14|C5|false

211|15|A1|false
212|15|A2|false
213|15|A3|false
214|15|A4|false
215|15|A5|false
216|15|B1|false
217|15|B2|false
218|15|B3|false
219|15|B4|false
220|15|B5|false
221|15|C1|false
222|15|C2|false
223|15|C3|false
224|15|C4|false
225|15|C5|false

226|16|A1|false
227|16|A2|false
228|16|A3|false
229|16|A4|false
230|16|A5|false
231|16|B1|false
232|16|B2|false
233|16|B3|false
234|16|B4|false
235|16|B5|false
236|16|C1|false
237|16|C2|false
238|16|C3|false
239|16|C4|false
240|16|C5|false

241|17|A1|false
242|17|A2|false
243|17|A3|false
244|17|A4|false
245|17|A5|false
246|17|B1|false
247|17|B2|false
248|17|B3|false
249|17|B4|false
250|17|B5|false
251|17|C1|false
252|17|C2|false
253|17|C3|false
254|17|C4|false
255|17|C5|false

256|18|A1|false
257|18|A2|false
258|18|A3|false
259|18|A4|false
260|18|A5|false
261|18|B1|false
262|18|B2|false
263|18|B3|false
264|18|B4|false
265|18|B5|false
266|18|C1|false
267|18|C2|false
268|18|C3|false
269|18|C4|false
270|18|C5|false

271|19|A1|false
272|19|A2|false
273|19|A3|false
274|19|A4|false
275|19|A5|false
276|19|B1|false
277|19|B2|false
278|19|B3|false
279|19|B4|false
280|19|B5|false
281|19|C1|false
282|19|C2|false
283|19|C3|false
284|19|C4|false
285|19|C5|false

286|20|A1|false
287|20|A2|false
288|20|A3|false
289|20|A4|false
290|20|A5|false
291|20|B1|false
292|20|B2|false
293|20|B3|false
294|20|B4|false
295|20|B5|false
296|20|C1|false
297|20|C2|false
298|20|C3|false
299|20|C4|false
300|20|C5|false
301|21|A1|false
302|21|A2|false
303|21|A3|false
304|21|A4|false
305|21|A5|false
306|21|B1|false
307|21|B2|false
308|21|B3|false
309|21|B4|false
310|21|B5|false
311|21|C1|false
312|21|C2|false
313|21|C3|false
314|21|C4|false
315|21|C5|false

316|22|A1|false
317|22|A2|false
318|22|A3|false
319|22|A4|false
320|22|A5|false
321|22|B1|false
322|22|B2|false
323|22|B3|false
324|22|B4|false
325|22|B5|false
326|22|C1|false
327|22|C2|false
328|22|C3|false
329|22|C4|false
330|22|C5|false

331|23|A1|false
332|23|A2|false
333|23|A3|false
334|23|A4|false
335|23|A5|false
336|23|B1|false
337|23|B2|false
338|23|B3|false
339|23|B4|false
340|23|B5|false
341|23|C1|false
342|23|C2|false
343|23|C3|false
344|23|C4|false
345|23|C5|false

346|24|A1|false
347|24|A2|false
348|24|A3|false
349|24|A4|false
350|24|A5|false
351|24|B1|false
352|24|B2|false
353|24|B3|false
354|24|B4|false
355|24|B5|false
356|24|C1|false
357|24|C2|false
358|24|C3|false
359|24|C4|false
360|24|C5|false

361|25|A1|false
362|25|A2|false
363|25|A3|false
364|25|A4|false
365|25|A5|false
366|25|B1|false
367|25|B2|false
368|25|B3|false
369|25|B4|false
370|25|B5|false
371|25|C1|false
372|25|C2|false
373|25|C3|false
374|25|C4|false
375|25|C5|false

376|26|A1|false
377|26|A2|false
378|26|A3|false
379|26|A4|false
380|26|A5|false
381|26|B1|false
382|26|B2|false
383|26|B3|false
384|26|B4|false
385|26|B5|false
386|26|C1|false
387|26|C2|false
388|26|C3|false
389|26|C4|false
390|26|C5|false

391|27|A1|false
392|27|A2|false
393|27|A3|false
394|27|A4|false
395|27|A5|false
396|27|B1|false
397|27|B2|false
398|27|B3|false
399|27|B4|false
400|27|B5|false
401|27|C1|false
402|27|C2|false
403|27|C3|false
404|27|C4|false
405|27|C5|false

406|28|A1|false
407|28|A2|false
408|28|A3|false
409|28|A4|false
410|28|A5|false
411|28|B1|false
412|28|B2|false
413|28|B3|false
414|28|B4|false
415|28|B5|false
416|28|C1|false
417|28|C2|false
418|28|C3|false
419|28|C4|false
420|28|C5|false

421|29|A1|false
422|29|A2|false
423|29|A3|false
424|29|A4|false
425|29|A5|false
426|29|B1|false
427|29|B2|false
428|29|B3|false
429|29|B4|false
430|29|B5|false
431|29|C1|false
432|29|C2|false
433|29|C3|false
434|29|C4|false
435|29|C5|false

436|30|A1|false
437|30|A2|false
438|30|A3|false
439|30|A4|false
440|30|A5|false
441|30|B1|false
442|30|B2|false
443|30|B3|false
444|30|B4|false
445|30|B5|false
446|30|C1|false
447|30|C2|false
448|30|C3|false
449|30|C4|false
450|30|C5|false
